1.674856009518619487e-02,1.785201163192787210e-02,-1.659458392993763069e-04,1.328983684943206220e-02,2.014790172556991443e+00,4.014790172556991443e+00
2.644190790544147518e-01,2.436581096781305911e-01,-4.262565619959204043e-03,7.039671025943343430e-02,2.031429909416611945e+00,4.031429909416611501e+00
6.686966601367877461e-01,6.000390925552181454e-01,-1.566065065007975904e-02,1.481697704604567623e-01,1.992444189571919377e+00,3.992444189571918933e+00
1.250315358975284896e+00,1.121194401665292606e+00,-4.248204292034779561e-02,2.726470441217220819e-01,2.017217414305809697e+00,4.017217414305809697e+00
1.868813391944941227e+00,1.673670517780541545e+00,-8.604953629136616322e-02,4.210687699463560030e-01,1.982917126082196946e+00,3.982917126082196280e+00
2.552162005367994091e+00,2.291644319553747700e+00,-1.379715976300079638e-01,6.095009669218791615e-01,1.980126794704240911e+00,3.980126794704240911e+00
3.254477048666261307e+00,2.924263412010392749e+00,-9.880119898073107254e-02,8.425138757241406040e-01,1.965254986311633756e+00,3.965254986311633534e+00
4.064588766623298710e+00,3.664471970575240878e+00,1.373450968293883356e-01,1.201785126066957199e+00,2.015236412809795929e+00,4.015236412809795929e+00
4.918841620038736373e+00,4.418662920213096257e+00,6.094658221901535500e-01,1.456443838708345151e+00,2.045959484092461977e+00,4.045959484092461977e+00
5.761337978144179139e+00,5.110006639235045611e+00,1.265556772301333011e+00,1.501907067119995443e+00,2.018215068310893479e+00,4.018215068310893479e+00
6.703746223035178531e+00,5.869931109307654715e+00,1.950127029576341320e+00,1.593219027927224918e+00,2.064626744802747549e+00,4.064626744802747105e+00
7.571671158447829342e+00,6.554882831054872128e+00,2.492389973747499265e+00,1.853745663700614443e+00,2.044842433839072271e+00,4.044842433839073159e+00
8.311207237269975678e+00,7.134349615230160424e+00,2.869539123396531721e+00,2.189309076411415589e+00,1.956352377117484664e+00,3.956352377117485553e+00
9.235535595095434758e+00,7.960294422763997346e+00,3.002741650858523847e+00,3.209940333828645187e+00,2.034989072223360118e+00,4.034989072223361006e+00
