8.855721923714989785e-01,5.866551235700760009e-02,5.576229527149347692e-02
8.607290887037443161e-01,6.705781901035752501e-02,7.221309228589799234e-02
8.173557827809281306e-01,7.588146825907453319e-02,1.067627489599971696e-01
6.965843528047077626e-01,8.959829329069676773e-02,2.138173539045954141e-01
4.809245089302135456e-01,1.071044269692781881e-01,4.119710641005082108e-01
2.698930987460894104e-01,1.761784677859676018e-01,5.539284334679429600e-01
2.399822639989175610e-01,3.365069297123919334e-01,4.235108062886904223e-01
2.624942732128062173e-01,5.918202558521472589e-01,1.456854709350465515e-01
1.992271411125914327e-01,5.490335682192528655e-01,2.517392906681555909e-01
1.284966019978622809e-01,4.572175329749402217e-01,4.142858650271973864e-01
1.141615802735565233e-01,3.919551393196500921e-01,4.938832804067933568e-01
8.799399065291478583e-02,4.281621611355757029e-01,4.838438482115095529e-01
5.567368174038178630e-02,4.853240255638802125e-01,4.590022926957381122e-01
4.070237449837476457e-02,6.107125813481739662e-01,3.485850441534514288e-01
2.808023046900302855e-02,7.186723645853596576e-01,2.532474049456372445e-01
2.180742733393833260e-02,8.009375725583810501e-01,1.772550001076805826e-01
2.118787683761062107e-02,8.516275016966471378e-01,1.271846214657423035e-01
2.282956574018290413e-02,8.864195535253001079e-01,9.075088073451695325e-02
2.862230987980972710e-02,8.981088953259442897e-01,7.326879479424606989e-02
3.002096067365277871e-02,9.157145487383445692e-01,5.426449058800251329e-02
3.334397147001685879e-02,9.219964734047126909e-01,4.465955512527051974e-02
4.780926302936652078e-02,9.017524213794980703e-01,5.043831559113545054e-02
4.997593237152282708e-02,9.049374191176329241e-01,4.508664851084426273e-02
5.174824455217269525e-02,9.061834498313133812e-01,4.206830561651391659e-02
5.484582681683632804e-02,9.036767934576274142e-01,4.147737972553609820e-02
5.823244192651778200e-02,8.997354477497331304e-01,4.203211032374907369e-02
6.139398582002513621e-02,8.959803336576267485e-01,4.262568052234806670e-02
6.979199717805097125e-02,8.827617196014787559e-01,4.744628322047030056e-02
7.503544863241626284e-02,8.752086693997750411e-01,4.975588196780873773e-02
7.995081873055941146e-02,8.693538939051236314e-01,5.069528736431697102e-02
8.409489229240482699e-02,8.649716380459635534e-01,5.093346966163161266e-02
8.838203680838821463e-02,8.603173806819510716e-01,5.130058250966070682e-02
9.420205886271468265e-02,8.531908563466766848e-01,5.260708479060854925e-02
9.873101454054593329e-02,8.479535435064889937e-01,5.331544195296497590e-02
1.063626741972515249e-01,8.376096559124158736e-01,5.602766989033270556e-02
1.125486098179746541e-01,8.302955953793106358e-01,5.715579480271474472e-02
1.172860406116957160e-01,8.252217560736639923e-01,5.749220331464030553e-02
1.225151396373224816e-01,8.181066727655442739e-01,5.937818759713341110e-02
1.308508673628842600e-01,8.065861130253254574e-01,6.256301961179026871e-02
1.353981098690780482e-01,8.022418066201097986e-01,6.236008351081226420e-02
1.406615380157780204e-01,7.952278884086846356e-01,6.411057357553739955e-02
1.447714385964127826e-01,7.912355023205138727e-01,6.399305908307326152e-02
1.502468929905577399e-01,7.854880485819325520e-01,6.426505842750983299e-02
1.551892678258368075e-01,7.804901153521431878e-01,6.432061682202008801e-02
1.689662193743273755e-01,7.525402611261532426e-01,7.849351949951938190e-02
1.833845847832510367e-01,7.295106174678072097e-01,8.710479774894179517e-02
1.915830138903292235e-01,7.203291209747746393e-01,8.808786513489615111e-02
2.004770489430706404e-01,7.085747321823445688e-01,9.094821887458484633e-02
2.053766152982869631e-01,7.047156697135922299e-01,8.990771498812070994e-02
2.106285597849174851e-01,7.001400736513033740e-01,8.923136656377914089e-02
2.154481927438699207e-01,6.964694108388443938e-01,8.808239641728565772e-02
2.227143576746009046e-01,6.873760122480830903e-01,8.990963007731601897e-02
2.271479948106802926e-01,6.840551810718137338e-01,8.879682411750586257e-02
2.378868094062871752e-01,6.673394509685838250e-01,9.477373962512911088e-02
2.857002142909190745e-01,5.365988214569621384e-01,1.777009642521188426e-01
2.943035817745071614e-01,5.261992130892759745e-01,1.794972051362169474e-01
3.015424704747174944e-01,5.178626478153484092e-01,1.805948817099340409e-01
3.079424786857652419e-01,5.183986284255518440e-01,1.736588928886829142e-01
3.133621224090399338e-01,5.221277694775382505e-01,1.645101081134217880e-01
3.191235054261984394e-01,5.221338521646924358e-01,1.587426424091092081e-01
3.237671581753382433e-01,5.235480390346304302e-01,1.526848027900314098e-01
3.292686425135722961e-01,5.222495405425159332e-01,1.484818169439117430e-01
3.331413712839365049e-01,5.220340982466222801e-01,1.448245304694412983e-01
3.399190161939532051e-01,5.113114664260582920e-01,1.487695173799884196e-01
3.446542729340162370e-01,5.096805589485243759e-01,1.456651681174593316e-01
3.491413858220093203e-01,5.097567883927168753e-01,1.411018257852737490e-01
3.536517727491228502e-01,5.101422269387042574e-01,1.362060003121728646e-01
3.577217440798834969e-01,5.106319282035098883e-01,1.316463277166065871e-01
3.615162759240805879e-01,5.118286788877773885e-01,1.266550451881421069e-01
3.655521111820206892e-01,5.124020621466123249e-01,1.220458266713670969e-01
3.698733246189704893e-01,5.118514221013483745e-01,1.182752532796812750e-01
3.748349494869727683e-01,5.059240164953101582e-01,1.192410340177169348e-01
3.787917195667010462e-01,5.048116329215418530e-01,1.163966475117571425e-01
3.819379634137588519e-01,5.041448618841911644e-01,1.139171747020499281e-01
3.864593468119232322e-01,5.010145709491512500e-01,1.125260822389255455e-01
3.899851802526734801e-01,4.955003095231523269e-01,1.145145102241742208e-01
3.936165542891831293e-01,4.939594526377170669e-01,1.124239930730998593e-01
3.975290383870028754e-01,4.927006237473838257e-01,1.097703378656133544e-01
4.007994868426476565e-01,4.918142688735049339e-01,1.073862442838473680e-01
4.049526474439171797e-01,4.892477657098677213e-01,1.057995868462152100e-01
4.051799190018763874e-01,4.874676901295663112e-01,1.073523908685573708e-01
4.095268322182574194e-01,4.827960184371796748e-01,1.076771493445628919e-01
4.121017771938877416e-01,4.821413528567802254e-01,1.057568699493320608e-01
4.164546004783473143e-01,4.783309651875122803e-01,1.052144343341404609e-01
4.205032130594634210e-01,4.765656547176781999e-01,1.029311322228583098e-01
4.242292958328391927e-01,4.752134940776612804e-01,1.005572100894994991e-01
4.266676167857417212e-01,4.700944517925785271e-01,1.032379314216796407e-01
4.290675184414460275e-01,4.681240167720891465e-01,1.028084647864647844e-01
4.327854332195646969e-01,4.672358937311428262e-01,9.997867304929237975e-02
4.368574889137911144e-01,4.647805349209580550e-01,9.836197616525078902e-02
4.357575670640281840e-01,4.641717269554893055e-01,1.000707059804825522e-01
4.343828794482477718e-01,4.662774917410000830e-01,9.933962881075208973e-02
4.383239558054748963e-01,4.583205478744816208e-01,1.033554963200435522e-01
4.391259594203036909e-01,4.514949186985585117e-01,1.093791218811376448e-01
4.425076730945375902e-01,4.495601795093258635e-01,1.079321473961366018e-01
4.401854861445486655e-01,4.456697506368849648e-01,1.141447632185663696e-01
4.420955959052559892e-01,4.429026341516024146e-01,1.150017699431417073e-01
4.467905373730334806e-01,4.418946232668957141e-01,1.113148393600708608e-01
4.512999086309883445e-01,4.406345498600635624e-01,1.080655415089480514e-01
4.556148565792978444e-01,4.391919571635283237e-01,1.051931862571738735e-01
4.597843932878731277e-01,4.375315830547560902e-01,1.026840236573706433e-01
4.592232091858322596e-01,4.376179740193775758e-01,1.031588167947902340e-01
4.633103539800848547e-01,4.362187499335009044e-01,1.004708960864142825e-01
4.638444814129673022e-01,4.313093058841063754e-01,1.048462127029263086e-01
4.664540191347248399e-01,4.289877907303843996e-01,1.045581901348908160e-01
4.685733550564693539e-01,4.271383441174857465e-01,1.042883008260448302e-01
4.644537755680069324e-01,4.263481719804659287e-01,1.091980524515269585e-01
4.680044386670521028e-01,4.264429729420979864e-01,1.055525883908500495e-01
4.702625334818493208e-01,4.269738554593223157e-01,1.027636110588283358e-01
4.716902247272539150e-01,4.220781260329372064e-01,1.062316492398089757e-01
4.753019869500124672e-01,4.205335878739410727e-01,1.041644251760463213e-01
4.773125681500107742e-01,4.203108086165142088e-01,1.023766232334749476e-01
4.816170106911508153e-01,4.182572081809303177e-01,1.001257811279188115e-01
4.858395367195958992e-01,4.160710102621227313e-01,9.808945301828131402e-02
4.880877943714003742e-01,4.129665888704545651e-01,9.894561675814503299e-02
4.873440144609981761e-01,4.126850302432281126e-01,9.997095529577361417e-02
4.911673091937147073e-01,4.100738554174355732e-01,9.875883538884974722e-02
4.946358050190949873e-01,4.075529134101951723e-01,9.781128157070981266e-02
4.741428506343912108e-01,4.095030751899428889e-01,1.163540741756660390e-01
4.774295729423380097e-01,4.077740880578716864e-01,1.147963389997904288e-01
4.770174511872394829e-01,4.070150398491211297e-01,1.159675089636395262e-01
4.820486691396039802e-01,4.061345520245280283e-01,1.118167788358678943e-01
4.841741172017383632e-01,4.065759955445057972e-01,1.092498872537558952e-01
4.886587980609333748e-01,4.050513244564680759e-01,1.062898774825984244e-01
4.916208956816438547e-01,4.023062554893400700e-01,1.060728488290161309e-01
4.950633203299668050e-01,4.000878532212701622e-01,1.048488264487631300e-01
4.974118519224315915e-01,3.990758054162037438e-01,1.035123426613647896e-01
4.985665745226445233e-01,3.995516233103847403e-01,1.018818021669706669e-01
5.018255177102732834e-01,3.967039099130933999e-01,1.014705723766333861e-01
5.060500822131275278e-01,3.944903021410039456e-01,9.945961564586862369e-02
5.092618539050574045e-01,3.920529069153306234e-01,9.868523917961197212e-02
5.087125177208250415e-01,3.922191215646596008e-01,9.906836071451528836e-02
4.904928900519825996e-01,4.016841240732786367e-01,1.078229858747387637e-01
4.725983601052432537e-01,3.917380490945023830e-01,1.356635908002543911e-01
4.757005229607283447e-01,3.913375551271214281e-01,1.329619219121502827e-01
4.811201079277124260e-01,3.906256433012033069e-01,1.282542487710842116e-01
4.859941286548452588e-01,3.901726142862319002e-01,1.238332570589227855e-01
4.876562795125916616e-01,3.882984745648177527e-01,1.240452459225904330e-01
4.912296925726098440e-01,3.876063271743225846e-01,1.211639802530675297e-01
4.947204701191813547e-01,3.876020420026183855e-01,1.176774878782002320e-01
4.975444657410388882e-01,3.855504475820838439e-01,1.169050866768773927e-01
4.991299064554074461e-01,3.856344077308034857e-01,1.152356858137891793e-01
4.995367245898324482e-01,3.835591355137723535e-01,1.169041398963952261e-01
5.014358302017293267e-01,3.823840813572379482e-01,1.161800884410326973e-01
4.903644252970038031e-01,3.864023774614331330e-01,1.232331972415631333e-01
4.935167178785799247e-01,3.841875453817903963e-01,1.222957367396295958e-01
4.984874710169325263e-01,3.830692584702263259e-01,1.184432705128411478e-01
5.028441854681139356e-01,3.813438029486421743e-01,1.158120115832438762e-01
4.971545848561667591e-01,3.817559663603541931e-01,1.210894487834790617e-01
5.013126814134151177e-01,3.801780441038335456e-01,1.185092744827512673e-01
4.885342374682328237e-01,3.854223426728033419e-01,1.260434198589637511e-01
4.933269541863004592e-01,3.853103084544811097e-01,1.213627373592185560e-01
4.964087510400889136e-01,3.860060988982487173e-01,1.175851500616623968e-01
4.999259948461151626e-01,3.830645844983707193e-01,1.170094206555139654e-01
5.025128741472352223e-01,3.809110777906372647e-01,1.165760480621274436e-01
5.054071689487303898e-01,3.793446104393714546e-01,1.152482206118979891e-01
4.998391326660145406e-01,3.816887890360188273e-01,1.184720782979667014e-01
5.002200612570155691e-01,3.795991569966152834e-01,1.201807817463692168e-01
5.048522272014872581e-01,3.780773542659157660e-01,1.170704185325969898e-01
5.095655728161950782e-01,3.764343324863991258e-01,1.140000946974058793e-01
5.138906657712064563e-01,3.747123037098089582e-01,1.113970305189845300e-01
5.163446347009288395e-01,3.740887888821602947e-01,1.095665764169109352e-01
5.162573493430310245e-01,3.756009878064835994e-01,1.081416628504853900e-01
5.194701690568246377e-01,3.731133491515150058e-01,1.074164817916603981e-01
5.190994378446209812e-01,3.716316212684859788e-01,1.092689408868929707e-01
5.126939725346493226e-01,3.743705442721442234e-01,1.129354831932064540e-01
5.105749529804781695e-01,3.778664376323599416e-01,1.115586093871619583e-01
5.065816319083827901e-01,3.741365773550262563e-01,1.192817907365910091e-01
5.065687284862604445e-01,3.748299949636567652e-01,1.186012765500828320e-01
5.062985319097254022e-01,3.726770692925984174e-01,1.210243987976761942e-01
5.064339734732534737e-01,3.721767384889391184e-01,1.213892880378073247e-01
5.109239717650134738e-01,3.705882537663100496e-01,1.184877744686764212e-01
5.100097093982202123e-01,3.719556715998671992e-01,1.180346190019127134e-01
5.119045461378350925e-01,3.733087550036509050e-01,1.147866988585140580e-01
5.167187880303967251e-01,3.720612648919403576e-01,1.112199470776629034e-01
5.212946990365469047e-01,3.706166415357806110e-01,1.080886594276725676e-01
5.048176997065036975e-01,3.715345997351880425e-01,1.236477005583083710e-01
5.024742551046813555e-01,3.720701487277641717e-01,1.254555961675545284e-01
5.064586690738128727e-01,3.722302285660212262e-01,1.213111023601659982e-01
5.101453051576098074e-01,3.725023460798330688e-01,1.173523487625572209e-01
5.146155968061255637e-01,3.718450247377522166e-01,1.135393784561222613e-01
5.103224661730723088e-01,3.700865015209929831e-01,1.195910323059345970e-01
4.955075802112189343e-01,3.745328790890083415e-01,1.299595406997727798e-01
4.953084492998286459e-01,3.738414450809002254e-01,1.308501056192712397e-01
4.854169649148135646e-01,3.768748132523300209e-01,1.377082218328564978e-01
4.909706221328122844e-01,3.753375719230349628e-01,1.336918059441526696e-01
4.953245728269863868e-01,3.743290287887547363e-01,1.303463983842589324e-01
4.971400951026708204e-01,3.754800318979477081e-01,1.273798729993814716e-01
5.011608137581865519e-01,3.739237248826606241e-01,1.249154613591528379e-01
4.930904314981847114e-01,3.785322780973248702e-01,1.283772904044903906e-01
4.953462365248119670e-01,3.750870423518660179e-01,1.295667211233218208e-01
5.003904867926161071e-01,3.741381621594574436e-01,1.254713510479263938e-01
4.918519457392824812e-01,3.796285306396090520e-01,1.285195236211084391e-01
4.658922923724496679e-01,3.728972297122255530e-01,1.612104779153247514e-01
4.709977022493802568e-01,3.725832165979622856e-01,1.564190811526572911e-01
4.763224818277010386e-01,3.726598034610208998e-01,1.510177147112780616e-01
4.720734328400280622e-01,3.769249935239222804e-01,1.510015736360496297e-01
4.778686263201996076e-01,3.770252024553686354e-01,1.451061712244317292e-01
4.808904650949142323e-01,3.747275401807029227e-01,1.443819947243827062e-01
4.813381984493610433e-01,3.740754661778395440e-01,1.445863353727994127e-01
4.778896921788800545e-01,3.756503089932138328e-01,1.464599988279061127e-01
4.837151985320204961e-01,3.752598595144622795e-01,1.410249419535171134e-01
4.891298175557890482e-01,3.751248161343736509e-01,1.357453663098372176e-01
4.874981177497250684e-01,3.737643891555086362e-01,1.387374930947663232e-01
4.927304834964559288e-01,3.727291596024468467e-01,1.345403569010972522e-01
4.909708695068438766e-01,3.746634562990090456e-01,1.343656741941470500e-01
4.896586617649484885e-01,3.728189313070336963e-01,1.375224069280179262e-01
4.950837696179576364e-01,3.719119495238483175e-01,1.330042808581939628e-01
4.960019636627290285e-01,3.731890218873913923e-01,1.308090144498796070e-01
4.992267166115965660e-01,3.743332932253082279e-01,1.264399901630951784e-01
5.031775507326597952e-01,3.719202762868512036e-01,1.249021729804889319e-01
5.068920250118480464e-01,3.715640683612239648e-01,1.215439066269280027e-01
5.120353427091607346e-01,3.702395664434453004e-01,1.177250908473939234e-01
5.118533794583031149e-01,3.718897606725701799e-01,1.162568598691264971e-01
5.169326980701336449e-01,3.697623851887538726e-01,1.133049167411125102e-01
5.173179106144092376e-01,3.709238475141392044e-01,1.117582418714515857e-01
5.205377709283919296e-01,3.675982901112239132e-01,1.118639389603841572e-01
5.251001586022963075e-01,3.658626987224766758e-01,1.090371426752270445e-01
5.224285338203035201e-01,3.649368195897365608e-01,1.126346465899597943e-01
5.260369873723547141e-01,3.633312034508405231e-01,1.106318091768047768e-01
5.310601164949086961e-01,3.613576036311137440e-01,1.075822798739774905e-01
5.342510181222979160e-01,3.597188968083732674e-01,1.060300850693288860e-01
5.284521449555034112e-01,3.625143566320160882e-01,1.090334984124804729e-01
5.329854470161449198e-01,3.603654890259637700e-01,1.066490639578912131e-01
5.370788212461111710e-01,3.582381852111992671e-01,1.046829935426896868e-01
5.396736700751931792e-01,3.573053419883811532e-01,1.030209879364256537e-01
5.441720101527866005e-01,3.554953538225148479e-01,1.003326360246986348e-01
5.486745484875813483e-01,3.534075489060930497e-01,9.791790260632575460e-02
5.530991549067643120e-01,3.511437852665575399e-01,9.575705982667812033e-02
5.397053327602782113e-01,3.545745780849169360e-01,1.057200891548048111e-01
5.407214730539903202e-01,3.539949798748939780e-01,1.052835470711156463e-01
5.268899225067147363e-01,3.606429533389597375e-01,1.124671241543254291e-01
5.297974001467946614e-01,3.585933312169382603e-01,1.116092686362670366e-01
5.335338548290273764e-01,3.575879059539168736e-01,1.088782392170557084e-01
5.319164254515715839e-01,3.571095434306252314e-01,1.109740311178030736e-01
5.366923095775730790e-01,3.550067154045651874e-01,1.083009750178618447e-01
5.392494108064703751e-01,3.540967628747939688e-01,1.066538263187355867e-01
5.323704654200933639e-01,3.555448391381942352e-01,1.120846954417123870e-01
5.371030410228737617e-01,3.533458846724366609e-01,1.095510743046896052e-01
5.423643598622793771e-01,3.510551895767989872e-01,1.065804505609215941e-01
5.444195387378221174e-01,3.506148550702158362e-01,1.049656061919618938e-01
5.453707162435482703e-01,3.514850591266996949e-01,1.031442246297519932e-01
5.491563385055870938e-01,3.505801000589781058e-01,1.002635614354347865e-01
5.395828626099308245e-01,3.570778614178243826e-01,1.033392759722446957e-01
5.354109092508926304e-01,3.527685752059707691e-01,1.118205155431367254e-01
5.357876457715365914e-01,3.513206515201234836e-01,1.128917027083400498e-01
5.293296501730192505e-01,3.546290572056677859e-01,1.160412926213128387e-01
