3.442069299590052450e-02,3.442069299590052450e-02,7.414206929959005210e-01,3.442069299590052450e-02,3.442069299590052450e-02,0.000000000000000000e+00,2.015393401874296941e+00,4.015393401874296941e+00
8.329773149422994294e-01,7.222191087542821908e-01,7.796633531978597320e-01,7.675802970642256362e+00,6.568220908762083532e+00,0.000000000000000000e+00,2.032496039444698255e+00,4.032496039444698255e+00
1.476417332733492849e+00,1.254900920357458372e+00,6.627894092446134922e-01,7.558929026689010122e+00,6.451346964808837292e+00,0.000000000000000000e+00,1.980228422749106487e+00,3.980228422749106265e+00
2.332065794754747845e+00,1.999791176190696129e+00,7.581239095214289403e-01,7.654263526965825903e+00,6.546681465085653073e+00,0.000000000000000000e+00,2.022863307393092835e+00,4.022863307393092391e+00
2.978033985070362100e+00,2.535001160318293145e+00,6.437781380926033137e-01,7.539917755537000055e+00,6.432335693656827225e+00,0.000000000000000000e+00,1.971726323822191373e+00,3.971726323822191151e+00
3.741507232865750598e+00,3.187716201925664183e+00,6.469374241435524864e-01,7.543077041587949338e+00,6.435494979707776508e+00,0.000000000000000000e+00,1.973139199496249052e+00,3.973139199496249052e+00
4.455841479630762159e+00,3.791292242502658727e+00,6.009577091641244984e-01,7.497097326608520795e+00,6.389515264728347965e+00,0.000000000000000000e+00,1.952576445840235930e+00,3.952576445840235930e+00
5.351754309691013844e+00,4.576446866374892508e+00,7.365565774799365251e-01,7.632696194924332822e+00,6.525114133044159992e+00,0.000000000000000000e+00,2.013218103285475458e+00,4.013218103285475458e+00
6.169387072990805798e+00,5.283321423486667001e+00,7.938753790352889306e-01,7.690014996479685117e+00,6.582432934599512286e+00,0.000000000000000000e+00,2.038851850618793371e+00,4.038851850618793371e+00
6.842088006950983292e+00,5.845264151258827034e+00,7.062623512510266544e-01,7.602401968695422951e+00,6.494819906815250121e+00,0.000000000000000000e+00,1.999670113450755515e+00,3.999670113450755515e+00
7.720038591916838833e+00,6.612456530036665114e+00,8.238989744724423137e-01,7.720038591916838833e+00,6.612456530036666003e+00,0.000000000000000000e+00,2.052278810684078802e+00,4.052278810684078358e+00
8.416411592003752773e+00,7.198071323935561594e+00,7.599580128149164837e-01,7.656097630259313114e+00,6.548515568379140284e+00,0.000000000000000000e+00,2.023683543321491474e+00,4.023683543321491918e+00
8.972838134660729992e+00,7.643739660404522240e+00,5.560705937274548205e-01,7.452210211171851562e+00,6.344628149291678731e+00,0.000000000000000000e+00,1.932502317554181115e+00,3.932502317554181115e+00
9.928779483287950569e+00,8.488922802843724469e+00,7.516979806102348505e-01,7.647837598054631592e+00,6.540255536174458761e+00,0.000000000000000000e+00,2.019989544620290456e+00,4.019989544620290900e+00
1.065567640774007963e+01,9.105061521107835176e+00,7.182809433179231373e-01,7.614420560762320100e+00,6.506838498882147270e+00,0.000000000000000000e+00,2.005044991221839545e+00,4.005044991221839545e+00
1.133678974716057830e+01,9.675416654340315503e+00,6.390803209939805996e-01,7.535219938438377341e+00,6.427637876558204511e+00,0.000000000000000000e+00,1.969625396146515106e+00,3.969625396146514884e+00
1.215132783754597057e+01,1.037919653853768942e+01,6.933044496349324293e-01,7.589444067079329059e+00,6.481862005199156229e+00,0.000000000000000000e+00,1.993875163678887397e+00,3.993875163678887397e+00
1.292245343180232098e+01,1.103956392660602148e+01,7.041160821468418485e-01,7.600255699591238034e+00,6.492673637711065204e+00,0.000000000000000000e+00,1.998710272727762582e+00,3.998710272727762582e+00
1.380816670291021353e+01,1.181451899152589569e+01,8.295153915102936315e-01,7.725655008954690040e+00,6.618072947074517209e+00,0.000000000000000000e+00,2.054790548741403544e+00,4.054790548741403100e+00
1.440343240125088897e+01,1.229902648367855278e+01,6.644671281065288593e-01,7.560606745550925822e+00,6.453024683670752992e+00,0.000000000000000000e+00,1.980978721433581669e+00,3.980978721433581669e+00
1.520917594691160879e+01,1.299401182315125425e+01,7.098967120228076855e-01,7.606036329467204204e+00,6.498454267587031374e+00,0.000000000000000000e+00,2.001295448998847704e+00,4.001295448998847704e+00
1.616050491877052764e+01,1.383458258882215297e+01,9.009117221372853201e-01,7.797051339581681617e+00,6.689469277701508787e+00,0.000000000000000000e+00,2.086719958466604297e+00,4.086719958466604297e+00
1.683809023373330760e+01,1.440140969759691636e+01,8.181830753556259550e-01,7.714322692800022807e+00,6.606740630919849977e+00,0.000000000000000000e+00,2.049722582888532152e+00,4.049722582888532152e+00
1.759505168090914751e+01,1.504761293858473614e+01,8.148305607870238720e-01,7.710970178231420391e+00,6.603388116351247561e+00,0.000000000000000000e+00,2.048223292794341788e+00,4.048223292794341788e+00
1.839381660501124927e+01,1.573561965649882133e+01,8.532815231446863047e-01,7.749421140589082491e+00,6.641839078708909661e+00,0.000000000000000000e+00,2.065419085920745523e+00,4.065419085920745523e+00
