-3.613129258155822754e-02,-3.613129258155822754e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.570000171661376953e+00,0.000000000000000000e+00
2.266983389854431152e-01,2.063900083303451538e-01,7.457274943590164185e-02,6.492213159799575806e-02,1.647824764251708984e+00,6.491874158382415771e-02
6.411767005920410156e-01,5.751177072525024414e-01,1.670618206262588501e-01,1.166546791791915894e-01,1.707013726234436035e+00,1.152235567569732666e-01
1.203985571861267090e+00,1.077239990234375000e+00,2.995488345623016357e-01,1.521404683589935303e-01,1.697370886802673340e+00,1.398361921310424805e-01
1.881465911865234375e+00,1.691401362419128418e+00,4.762325286865234375e-01,2.059532105922698975e-01,1.689345836639404297e+00,1.740608066320419312e-01
2.515038728713989258e+00,2.254689455032348633e+00,6.574930548667907715e-01,2.545862793922424316e-01,1.617439270019531250e+00,1.932246834039688110e-01
3.266701459884643555e+00,2.935515403747558594e+00,9.164441823959350586e-01,3.249217271804809570e-01,1.459532737731933594e+00,2.099441140890121460e-01
4.060995101928710938e+00,3.643843173980712891e+00,1.251301646232604980e+00,4.207526147365570068e-01,1.203612565994262695e+00,2.211432158946990967e-01
4.823349475860595703e+00,4.280723094940185547e+00,1.642553329467773438e+00,5.435196757316589355e-01,9.099180102348327637e-01,2.304700464010238647e-01
5.639609336853027344e+00,4.925085067749023438e+00,2.157304525375366211e+00,7.177228927612304688e-01,6.438003182411193848e-01,2.409648150205612183e-01
6.545111656188964844e+00,5.638442516326904297e+00,2.840317249298095703e+00,9.634224176406860352e-01,5.221827626228332520e-01,2.561377584934234619e-01
7.379048824310302734e+00,6.307300090789794922e+00,3.491716146469116211e+00,1.211003422737121582e+00,5.699877738952636719e-01,2.721642255783081055e-01
8.311849594116210938e+00,7.127828598022460938e+00,4.294327259063720703e+00,1.529105782508850098e+00,6.903336644172668457e-01,2.902328968048095703e-01
9.195294380187988281e+00,7.891279697418212891e+00,5.008010864257812500e+00,1.821895599365234375e+00,7.242785692214965820e-01,3.036201894283294678e-01
1.003930950164794922e+01,8.600900650024414062e+00,5.623654365539550781e+00,2.082607984542846680e+00,7.153970599174499512e-01,3.136493563652038574e-01
1.087239456176757812e+01,9.299564361572265625e+00,6.183166980743408203e+00,2.325800895690917969e+00,7.059790492057800293e-01,3.216627836227416992e-01
1.174951076507568359e+01,1.005112838745117188e+01,6.776666641235351562e+00,2.590031862258911133e+00,7.072349190711975098e-01,3.292345702648162842e-01
1.259651947021484375e+01,1.077450752258300781e+01,7.270917892456054688e+00,2.814876556396484375e+00,7.071200013160705566e-01,3.348365128040313721e-01
1.332550334930419922e+01,1.137528228759765625e+01,7.515079975128173828e+00,2.928208351135253906e+00,6.990131139755249023e-01,3.373107314109802246e-01
1.421369361877441406e+01,1.215226459503173828e+01,8.023378372192382812e+00,3.167371273040771484e+00,7.093846201896667480e-01,3.417788743972778320e-01
1.503893184661865234e+01,1.286095523834228516e+01,8.361104965209960938e+00,3.328292846679687500e+00,7.097975611686706543e-01,3.443627655506134033e-01
1.575879192352294922e+01,1.345752334594726562e+01,8.465873718261718750e+00,3.379321813583374023e+00,7.024424672126770020e-01,3.451395928859710693e-01
1.652588653564453125e+01,1.410860347747802734e+01,8.650378227233886719e+00,3.469301700592041016e+00,7.029018998146057129e-01,3.462315201759338379e-01
1.738264465332031250e+01,1.485765171051025391e+01,8.984731674194335938e+00,3.633133888244628906e+00,7.104725837707519531e-01,3.478706777095794678e-01
1.819950866699218750e+01,1.556195354461669922e+01,9.198974609375000000e+00,3.739262580871582031e+00,7.111125588417053223e-01,3.488236367702484131e-01
1.895108985900878906e+01,1.619588088989257812e+01,9.258712768554687500e+00,3.769702196121215820e+00,7.068094611167907715e-01,3.491314053535461426e-01
1.970001029968261719e+01,1.682896041870117188e+01,9.307017326354980469e+00,3.793877124786376953e+00,7.047342658042907715e-01,3.492862880229949951e-01
2.051319694519042969e+01,1.753281211853027344e+01,9.477174758911132812e+00,3.878439188003540039e+00,7.085787057876586914e-01,3.496368527412414551e-01
2.126538658142089844e+01,1.817067337036132812e+01,9.503105163574218750e+00,3.891164541244506836e+00,7.064469456672668457e-01,3.496608734130859375e-01
2.206462669372558594e+01,1.885997390747070312e+01,9.620242118835449219e+00,3.950207233428955078e+00,7.087030410766601562e-01,3.498572409152984619e-01
2.278089332580566406e+01,1.945998573303222656e+01,9.554912567138671875e+00,3.916630506515502930e+00,7.043266892433166504e-01,3.497203588485717773e-01
2.355284690856933594e+01,2.012170600891113281e+01,9.612153053283691406e+00,3.944403409957885742e+00,7.061085700988769531e-01,3.496573269367218018e-01
2.431861305236816406e+01,2.077693939208984375e+01,9.646720886230468750e+00,3.941381216049194336e+00,7.067863941192626953e-01,3.475610315799713135e-01
2.512006378173828125e+01,2.147032546997070312e+01,9.746883392333984375e+00,3.959869623184204102e+00,7.095769643783569336e-01,3.443660736083984375e-01
2.583695983886718750e+01,2.207151412963867188e+01,9.667579650878906250e+00,3.951964616775512695e+00,7.050810456275939941e-01,3.476698100566864014e-01
